"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"2575",10065403,"HY254339","01/01/2015 08:00:00 AM","017XX W PRATT BLVD","1153","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","OTHER","false","false",2424,24,49,1,"11",1163260,1945213,2015,"02/10/2018 03:50:01 PM",42.005308606,-87.67470174,"(42.005308606, -87.67470174)"
"2576",4812543,"HM426216","11/18/2005 12:01:00 AM","072XX S ABERDEEN ST","0840","THEFT","FINANCIAL ID THEFT: OVER $300","RESIDENCE","false","false",733,7,17,68,"06",NA,NA,2005,"08/17/2015 03:03:40 PM",NA,NA,""
"2577",10065404,"HY254338","05/10/2015 08:28:00 AM","037XX W 13TH ST","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","true","true",1011,10,24,29,"14",1151662,1893786,2015,"02/10/2018 03:50:01 PM",41.864425655,-87.7187282,"(41.864425655, -87.7187282)"
"2578",10065406,"HY254293","05/10/2015 06:30:00 AM","120XX S RACINE AVE","4387","OTHER OFFENSE","VIOLATE ORDER OF PROTECTION","RESIDENCE","true","true",524,5,34,53,"26",1170509,1824823,2015,"02/10/2018 03:50:01 PM",41.674791563,-87.651548144,"(41.674791563, -87.651548144)"
"2579",10065407,"HY254361","05/10/2015 09:30:00 AM","018XX W WELLINGTON AVE","0820","THEFT","$500 AND UNDER","STREET","false","false",1931,19,32,5,"06",1163384,1919945,2015,"02/10/2018 03:50:01 PM",41.935969567,-87.674959935,"(41.935969567, -87.674959935)"
"2580",10065408,"HY254345","05/09/2015 02:00:00 PM","033XX N RIDGEWAY AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false",1732,17,30,21,"14",1150800,1922024,2015,"02/10/2018 03:50:01 PM",41.941930385,-87.721152857,"(41.941930385, -87.721152857)"
"2581",10065409,"HY254341","05/10/2015 05:30:00 AM","007XX E 82ND ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false",631,6,6,44,"14",1182523,1850787,2015,"02/10/2018 03:50:01 PM",41.745770795,-87.606773358,"(41.745770795, -87.606773358)"
"2582",10065410,"HY254384","05/08/2015 06:00:00 PM","046XX N LAWNDALE AVE","0820","THEFT","$500 AND UNDER","STREET","false","false",1723,17,33,14,"06",1150887,1930576,2015,"02/10/2018 03:50:01 PM",41.965395995,-87.720608364,"(41.965395995, -87.720608364)"
"2583",10065412,"HY254346","05/10/2015 09:00:00 AM","043XX W WILCOX ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false",1115,11,28,26,"14",1147582,1898986,2015,"02/10/2018 03:50:01 PM",41.878774252,-87.733572569,"(41.878774252, -87.733572569)"
"2584",10065413,"HY254363","05/09/2015 02:30:00 PM","066XX N OKETO AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","CHURCH/SYNAGOGUE/PLACE OF WORSHIP","false","false",1611,16,41,9,"14",1126055,1943775,2015,"02/10/2018 03:50:01 PM",42.002066384,-87.811616151,"(42.002066384, -87.811616151)"
"2585",10065414,"HY254356","05/10/2015 08:36:00 AM","046XX S DAMEN AVE","0890","THEFT","FROM BUILDING","ATHLETIC CLUB","false","false",924,9,12,61,"06",1163737,1873840,2015,"02/10/2018 03:50:01 PM",41.809445968,-87.67496226,"(41.809445968, -87.67496226)"
"2586",10065416,"HY254336","05/10/2015 08:45:00 AM","017XX S HALSTED ST","1305","CRIMINAL DAMAGE","CRIMINAL DEFACEMENT","OTHER","false","false",1235,12,25,31,"14",1171313,1891650,2015,"02/10/2018 03:50:01 PM",41.858155602,-87.646652644,"(41.858155602, -87.646652644)"
"2587",10065419,"HY254359","05/10/2015 09:00:00 AM","016XX N CENTRAL AVE","0820","THEFT","$500 AND UNDER","VEHICLE NON-COMMERCIAL","true","false",2531,25,29,25,"06",1138802,1910344,2015,"02/10/2018 03:50:01 PM",41.910105854,-87.765535472,"(41.910105854, -87.765535472)"
"2588",10065420,"HY254321","05/10/2015 02:30:00 AM","016XX S PRAIRIE AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false",132,1,2,33,"14",1178347,1892319,2015,"02/10/2018 03:50:01 PM",41.859834107,-87.62081338,"(41.859834107, -87.62081338)"
"2589",10065421,"HY254312","05/10/2015 07:40:00 AM","016XX W PRATT BLVD","0560","ASSAULT","SIMPLE","SIDEWALK","false","false",2432,24,49,1,"08A",1164123,1945239,2015,"02/10/2018 03:50:01 PM",42.005361689,-87.671525969,"(42.005361689, -87.671525969)"
